FINISHED_PRODUCTDESC,COMPONENT_PRODUCTCODE,FINISHED_PRODUCTCODE,COMPONENT_PRODUCTDESC,BLEND_PERCENT
1003,1240,DB-PC SOLUTION                ,ADDITIN RC3740 396D           ,0.13895
1003,4318,DB-PC SOLUTION                ,ARGOLD LEGACY                 ,0.73818
1003,5677,DB-PC SOLUTION                ,XTENDRA BHT                   ,0.12287
1134,8507,CA AF 47 PREMIX               ,HATCO 2955                    ,0.46027
1134,8508,CA AF 47 PREMIX               ,R0177A                        ,0.14896
1134,8511,CA AF 47 PREMIX               ,VANLUBE 7723                  ,0.11815
1134,8516,CA AF 47 PREMIX               ,INFINIUM IDN 2593 A           ,0.00495
1134,8522,CA AF 47 PREMIX               ,INFINEUM C-8455B              ,0.12026
1134,8524,CA AF 47 PREMIX               ,INFINEUM C9230                ,0.13472
1134,8535,CA AF 47 PREMIX               ,CA-1892                       ,0.01269
1161,1248,WP 7075F                      ,LZ 7065C                      ,0.09063
1161,4305,WP 7075F                      ,KENDEX 0150                   ,0.90937
1225,1247,PAR 8010                      ,PARATONE 8910                 ,0.07456
1225,4305,PAR 8010                      ,KENDEX 0150                   ,0.92544
4101,5015,KENSOL 8                      ,LIGHT STRAIGHT RUN            ,1
4102,1128,KENSOL 10                     ,ISOMERATE                     ,0.33
4102,4107,KENSOL 10                     ,KENSOL 17                     ,0.67
4104,4107,KENSOL 13                     ,KENSOL 17                     ,1
4108,4114,KENSOL 48R                    ,KENSOL 48T                    ,0.65
4108,4221,KENSOL 48R                    ,KENSOL 48L                    ,0.35
4109,4115,KENSOL 49H                    ,KENSOL 48H                    ,0.6
4109,4118,KENSOL 49H                    ,KENSOL 50H                    ,0.4
4112,4111,KENSOL K-1                    ,KENSOL 30                     ,0.45
4112,4115,KENSOL K-1                    ,KENSOL 48H                    ,0.55
4124,4118,KENSOL 6180                   ,KENSOL 50H                    ,0.2
4124,4127,KENSOL 6180                   ,KENSOL 61 UNHT                ,0.8
4128,8103,KENSOL A                      ,#2 ONROAD DIESEL S-500 UNDYED ,1
4130,8102,KENSOL B                      ,#1 ONROAD DIESEL S-500 UNDYED ,1
4131,4118,KENSOL 6150                   ,KENSOL 50H                    ,0.3
4131,4129,KENSOL 6150                   ,KENSOL 61H                    ,0.7
4136,4115,KENSOL DMF HV                 ,KENSOL 48H                    ,0.25
4136,4118,KENSOL DMF HV                 ,KENSOL 50H                    ,0.75
4137,4115,KENSOL BRD                    ,KENSOL 48H                    ,0.8
4137,4118,KENSOL BRD                    ,KENSOL 50H                    ,0.2
4138,4115,KENSOL DMF 5050               ,KENSOL 48H                    ,0.5
4138,4118,KENSOL DMF 5050               ,KENSOL 50H                    ,0.5
4140,4115,KENSOL DMF LV                 ,KENSOL 48H                    ,0.6
4140,4118,KENSOL DMF LV                 ,KENSOL 50H                    ,0.4
4141,4115,KENSOL DMF MV                 ,KENSOL 48H                    ,0.5
4141,4118,KENSOL DMF MV                 ,KENSOL 50H                    ,0.5
4142,4115,KENSOL BRD-PLUS               ,KENSOL 48H                    ,0.5
4142,4127,KENSOL BRD-PLUS               ,KENSOL 61 UNHT                ,0.5
4143,4115,KENSOL DMF 48H                ,KENSOL 48H                    ,1
4144,4118,KENSOL DMF 50H                ,KENSOL 50H                    ,1
4192,1815,APO-2                         ,KEMESTER 2000                 ,0.018
4192,4117,APO-2                         ,KENSOL 51                     ,0.952
4192,4490,APO-2                         ,ALFOL 12                      ,0.011
4192,4601,APO-2                         ,ISOPROPYL ALCOHOL             ,0.007
4194,4115,KENSOL TCS  TRUCK BLEND       ,KENSOL 48H                    ,0.32
4194,4118,KENSOL TCS  TRUCK BLEND       ,KENSOL 50H                    ,0.68
4300,4315,KENDEX 200H                   ,KENDEX 0150H                  ,0.87
4300,4319,KENDEX 200H                   ,ARGOLD                        ,0.13
4301,4315,KENDEX 250H                   ,KENDEX 0150H                  ,0.815
4301,4319,KENDEX 250H                   ,ARGOLD                        ,0.185
4302,4305,KENDEX 325H                   ,KENDEX 0150                   ,0.45
4302,4309,KENDEX 325H                   ,KENDEX 0750                   ,0.55
4303,4315,KENDEX 0070                   ,KENDEX 0150H                  ,0.35
4303,4329,KENDEX 0070                   ,KENDEX 0060HT                 ,0.65
4304,4315,KENDEX 300H                   ,KENDEX 0150H                  ,0.7175
4304,4319,KENDEX 300H                   ,ARGOLD                        ,0.2825
4306,4315,KENDEX 0100                   ,KENDEX 0150H                  ,0.64
4306,4329,KENDEX 0100                   ,KENDEX 0060HT                 ,0.36
4308,4315,INTERFACE                     ,KENDEX 0150H                  ,0.64
4308,4327,INTERFACE                     ,KENDEX 0060H                  ,0.36
4310,4315,KENDEX 500H                   ,KENDEX 0150H                  ,0.53
4310,4319,KENDEX 500H                   ,ARGOLD                        ,0.47
4312,4313,KENDEX 0840                   ,KENDEX 0842                   ,0.12
4312,4318,KENDEX 0840                   ,ARGOLD LEGACY                 ,0.76
4312,4554,KENDEX 0840                   ,KENDEX 0834                   ,0.12
4314,4311,KENDEX 0200V                  ,KENDEX 0060                   ,0.5585
4314,4318,KENDEX 0200V                  ,ARGOLD LEGACY                 ,0.4415
4316,4315,KENDEX 600H                   ,KENDEX 0150H                  ,0.4875
4316,4319,KENDEX 600H                   ,ARGOLD                        ,0.5125
4323,4315,KENDEX KING                   ,KENDEX 0150H                  ,0.565
4323,4327,KENDEX KING                   ,KENDEX 0060H                  ,0.435
4324,4315,KENDEX 325H                   ,KENDEX 0150H                  ,0.67
4324,4319,KENDEX 325H                   ,ARGOLD                        ,0.33
4333,1131,KENDEX DUST DEFENSE           ,LZ 7719                       ,0.001
4333,4329,KENDEX DUST DEFENSE           ,KENDEX 0060HT                 ,0.999
4391,1149,KENDEX LMO 0261               ,PD-610                        ,0.0005
4391,4315,KENDEX LMO 0261               ,KENDEX 0150H                  ,0.59
4391,4329,KENDEX LMO 0261               ,KENDEX 0060HT                 ,0.4089
4391,4401,KENDEX LMO 0261               ,ARG ANTI-FOAM                 ,0.0001
4391,5903,KENDEX LMO 0261               ,ATPET 200                     ,0.0005
4392,1161,BATTERY OIL                   ,WP 7075F                      ,0.109
4392,1183,BATTERY OIL                   ,CROSS L-60                    ,0.38
4392,2122,BATTERY OIL                   ,PPM BLUE                      ,0.0002
4392,6157,BATTERY OIL                   ,DURASYN 166                   ,0.4998
4392,6613,BATTERY OIL                   ,LZ 5186B                      ,0.011
4393,1161,KENDEX BATTERY OIL GREEN      ,WP 7075F                      ,0.109
4393,1183,KENDEX BATTERY OIL GREEN      ,CROSS L-60                    ,0.38
4393,2019,KENDEX BATTERY OIL GREEN      ,PPM GREEN                     ,0.0002
4393,6157,KENDEX BATTERY OIL GREEN      ,DURASYN 166                   ,0.4998
4393,6613,KENDEX BATTERY OIL GREEN      ,LZ 5186B                      ,0.011
4401,4115,ARG ANTI-FOAM                 ,KENSOL 48H                    ,0.82
4401,4326,ARG ANTI-FOAM                 ,DOW CHEMICAL 1000 CST        ,0.09
4401,4359,ARG ANTI-FOAM                 ,DOW CHEMICAL 60000 CST       ,0.09
4402,1228,LP 2 STROKE PREMIX #1         ,LZ 424R                       ,0.54387
4402,4315,LP 2 STROKE PREMIX #1         ,KENDEX 0150H                  ,0.45613
4403,4115,LP 2 STROKE PREMIX #2         ,KENSOL 48H                    ,0.2644
4403,4309,LP 2 STROKE PREMIX #2         ,KENDEX 0750                   ,0.24901
4403,4318,LP 2 STROKE PREMIX #2         ,ARGOLD LEGACY                 ,0.16946
4403,4402,LP 2 STROKE PREMIX #2         ,LP 2 STROKE PREMIX #1         ,0.31713
4404,1267,LZ 1038U PRE-MIX BLEND        ,LZ 1038U                      ,0.72324
4404,4305,LZ 1038U PRE-MIX BLEND        ,KENDEX 0150                   ,0.27676
4406,1283,CHEMALOY F655                 ,XIAMETER PXM-200 30000 CST  ,0.01
4406,4111,CHEMALOY F655                 ,KENSOL 30                     ,0.99
4408,1149,RCK DRLL OIL ISO VG 1000 PREMX,PD-610                        ,0.002
4408,1359,RCK DRLL OIL ISO VG 1000 PREMX,LUBRIZOL 936                  ,0.01233
4408,4318,RCK DRLL OIL ISO VG 1000 PREMX,ARGOLD LEGACY                 ,0.90433
4408,4401,RCK DRLL OIL ISO VG 1000 PREMX,ARG ANTI-FOAM                 ,0.0001
4408,5885,RCK DRLL OIL ISO VG 1000 PREMX,V-178                         ,0.03961
4408,6693,RCK DRLL OIL ISO VG 1000 PREMX,ANG 6043                      ,0.04163
4409,1161,ENGINE TREATMENT PREMIX       ,WP 7075F                      ,0.05721
4409,1334,ENGINE TREATMENT PREMIX       ,OLOA 55603                    ,0.07144
4409,4118,ENGINE TREATMENT PREMIX       ,KENSOL 50H                    ,0.09402
4409,4315,ENGINE TREATMENT PREMIX       ,KENDEX 0150H                  ,0.77533
4409,5530,ENGINE TREATMENT PREMIX       ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.002
4430,1196,SOLUTIA CUT-BACK              ,SOLUTIA PC 1344               ,0.5
4430,4111,SOLUTIA CUT-BACK              ,KENSOL 30                     ,0.5
4450,4449,KENWAX LNSW/MNSW TRUCK BLEND  ,KENWAX LIGHT NEUTRAL SLACK WAX,0.5
4450,4451,KENWAX LNSW/MNSW TRUCK BLEND  ,KENWAX MED NEUTRAL SLACK WAX  ,0.5
4453,4451,KENWAX MNSW/HNSW (TRK/RC BLND),KENWAX MED NEUTRAL SLACK WAX  ,0.5
4453,4454,KENWAX MNSW/HNSW (TRK/RC BLND),KENWAX HEAVY NEUTRAL SLACK WAX,0.5
4464,4451,KENWAX UCC                    ,KENWAX MED NEUTRAL SLACK WAX  ,0.85
4464,4454,KENWAX UCC                    ,KENWAX HEAVY NEUTRAL SLACK WAX,0.15
4525,4454,KENDEX HN97 TRUCK BLEND       ,KENWAX HEAVY NEUTRAL SLACK WAX,0.7
4525,4555,KENDEX HN97 TRUCK BLEND       ,KENDEX 0897                   ,0.3
4538,1169,KENDEX ANT 2000               ,SURCHEM HYBASE 313            ,0.1625
4538,4309,KENDEX ANT 2000               ,KENDEX 0750                   ,0.515
4538,4315,KENDEX ANT 2000               ,KENDEX 0150H                  ,0.3225
4553,4554,KENDEX ZIEGLER                ,KENDEX 0834                   ,0.81
4553,4555,KENDEX ZIEGLER                ,KENDEX 0897                   ,0.19
4557,4554,KENDEX ONE CUT RESIN BLEND    ,KENDEX 0834                   ,0.67
4557,4555,KENDEX ONE CUT RESIN BLEND    ,KENDEX 0897                   ,0.33
4558,4127,KENDEX RESIN 170              ,KENSOL 61 UNHT                ,0.3
4558,4577,KENDEX RESIN 170              ,KENDEX MNE                    ,0.7
4559,4554,KENRES HEAVY LIGHT BLEND 7525 ,KENDEX 0834                   ,0.75
4559,4555,KENRES HEAVY LIGHT BLEND 7525 ,KENDEX 0897                   ,0.25
4561,4129,KENDEX 9761                   ,KENSOL 61H                    ,0.333
4561,4555,KENDEX 9761                   ,KENDEX 0897                   ,0.667
4570,4305,KENDEX 0850                   ,KENDEX 0150                   ,0.2475
4570,4329,KENDEX 0850                   ,KENDEX 0060HT                 ,0.3025
4570,4554,KENDEX 0850                   ,KENDEX 0834                   ,0.45
4571,4318,KENDEX 0851                   ,ARGOLD LEGACY                 ,0.477
4571,4554,KENDEX 0851                   ,KENDEX 0834                   ,0.234
4571,4555,KENDEX 0851                   ,KENDEX 0897                   ,0.289
4573,4329,KENDEX 1200                   ,KENDEX 0060HT                 ,0.4825
4573,4554,KENDEX 1200                   ,KENDEX 0834                   ,0.5175
4576,4577,KENDEX CAT (TRUCK-RC BLEND)   ,KENDEX MNE                    ,0.5
4576,4586,KENDEX CAT (TRUCK-RC BLEND)   ,KENDEX 0866                   ,0.5
4580,4318,KENDEX BORCKE                 ,ARGOLD LEGACY                 ,0.67
4580,4554,KENDEX BORCKE                 ,KENDEX 0834                   ,0.33
4586,4586,KENDEX 0866                   ,KENDEX 0866                   ,1
4590,4129,KENDEX EFH                    ,KENSOL 61H                    ,0.7
4590,4554,KENDEX EFH                    ,KENDEX 0834                   ,0.3
4608,4129,KENDEX 0888                   ,KENSOL 61H                    ,0.365
4608,4554,KENDEX 0888                   ,KENDEX 0834                   ,0.635
4618,4554,KENDEX 0898                   ,KENDEX 0834                   ,0.44
4618,4555,KENDEX 0898                   ,KENDEX 0897                   ,0.56
4670,4329,ARGUARD FAST QUENCH 70        ,KENDEX 0060HT                 ,0.93
4670,4554,ARGUARD FAST QUENCH 70        ,KENDEX 0834                   ,0.07
4672,4329,ARGUARD MEDIUM QUENCH 100     ,KENDEX 0060HT                 ,0.88
4672,4554,ARGUARD MEDIUM QUENCH 100     ,KENDEX 0834                   ,0.12
5000,1008,PENNZSUPRESS D                ,TERGITOL NP 8                 ,0.034
5000,4554,PENNZSUPRESS D                ,KENDEX 0834                   ,0.5351
5000,9998,PENNZSUPRESS D                ,PENNZSUPPRESS WATER           ,0.2059
5001,1895,ACE CHARGER                   ,PURITY L65                    ,0.8
5001,1900,ACE CHARGER                   ,PETROCAN GF-3                 ,0.2
5003,5000,PENNZSUPPRESS D 3/1 TRK BLND  ,PENNZSUPRESS D                ,0.25
5003,9998,PENNZSUPPRESS D 3/1 TRK BLND  ,PENNZSUPPRESS WATER           ,0.75
5007,5000,PENNZSUPPRESS G GRADE TRK BLND,PENNZSUPRESS D                ,0.7
5007,9998,PENNZSUPPRESS G GRADE TRK BLND,PENNZSUPPRESS WATER           ,0.3
5913,1010,MORGOIL 320 PRE-MIX           ,ACETONE                       ,0.0205
5913,4111,MORGOIL 320 PRE-MIX           ,KENSOL 30                     ,0.8165
5913,5914,MORGOIL 320 PRE-MIX           ,LZ 5914                       ,0.163
6301,8510,BMW LONG LIFE 5W30            ,YU6 YU-BASE 150N              ,0.13848
6301,8526,BMW LONG LIFE 5W30            ,MULTISOL A 5008PIA C9922      ,0.03465
6301,8527,BMW LONG LIFE 5W30            ,COMPLEX SV206 RO2122          ,0.05933
6301,8528,BMW LONG LIFE 5W30            ,MOLYVAN 855                   ,0.00158
6301,8529,BMW LONG LIFE 5W30            ,R09905A                       ,0.11502
6301,8531,BMW LONG LIFE 5W30            ,VISCOPLEX 1-240               ,0.00185
6301,8535,BMW LONG LIFE 5W30            ,CA-1892                       ,0.0013
6301,8550,BMW LONG LIFE 5W30            ,YU4 YU-BASE 100N              ,0.54684
6301,8580,BMW LONG LIFE 5W30            ,CA2157 CASTROL SYNTEC PREMIX  ,0.10095
6302,8510,CASTROL EDGE W/SYNTEC 10W30   ,YU6 YU-BASE 150N              ,0.78546
6302,8544,CASTROL EDGE W/SYNTEC 10W30   ,STOCK 22616                   ,0.06098
6302,8547,CASTROL EDGE W/SYNTEC 10W30   ,R11193A                       ,0.10134
6302,8550,CASTROL EDGE W/SYNTEC 10W30   ,YU4 YU-BASE 100N              ,0.05128
6302,8565,CASTROL EDGE W/SYNTEC 10W30   ,VISOPLEX 1-313                ,0.00094
6303,8508,CASTROL EDGE/SYNTEC 5W50      ,R0177A                        ,0.00404
6303,8510,CASTROL EDGE/SYNTEC 5W50      ,YU6 YU-BASE 150N              ,0.19496
6303,8519,CASTROL EDGE/SYNTEC 5W50      ,SV261                         ,0.0914
6303,8544,CASTROL EDGE/SYNTEC 5W50      ,STOCK 22616                   ,0.06097
6303,8547,CASTROL EDGE/SYNTEC 5W50      ,R11193A                       ,0.10132
6303,8550,CASTROL EDGE/SYNTEC 5W50      ,YU4 YU-BASE 100N              ,0.54308
6303,8565,CASTROL EDGE/SYNTEC 5W50      ,VISOPLEX 1-313                ,0.00423
6304,8510,CASTROL EDGE W/SYNTEC 5W30    ,YU6 YU-BASE 150N              ,0.43599
6304,8519,CASTROL EDGE W/SYNTEC 5W30    ,SV261                         ,0.01176
6304,8544,CASTROL EDGE W/SYNTEC 5W30    ,STOCK 22616                   ,0.06081
6304,8547,CASTROL EDGE W/SYNTEC 5W30    ,R11193A                       ,0.10105
6304,8550,CASTROL EDGE W/SYNTEC 5W30    ,YU4 YU-BASE 100N              ,0.38852
6304,8565,CASTROL EDGE W/SYNTEC 5W30    ,VISOPLEX 1-313                ,0.00187
6306,8510,CASTROL EDGE W/SYNTEC 10W40   ,YU6 YU-BASE 150N              ,0.80448
6306,8519,CASTROL EDGE W/SYNTEC 10W40   ,SV261                         ,0.032
6306,8544,CASTROL EDGE W/SYNTEC 10W40   ,STOCK 22616                   ,0.06108
6306,8547,CASTROL EDGE W/SYNTEC 10W40   ,R11193A                       ,0.1015
6306,8565,CASTROL EDGE W/SYNTEC 10W40   ,VISOPLEX 1-313                ,0.00094
6308,8510,CASTROL EDGE W/SYNTEC 5W20    ,YU6 YU-BASE 150N              ,0.2222
6308,8544,CASTROL EDGE W/SYNTEC 5W20    ,STOCK 22616                   ,0.06065
6308,8547,CASTROL EDGE W/SYNTEC 5W20    ,R11193A                       ,0.10078
6308,8550,CASTROL EDGE W/SYNTEC 5W20    ,YU4 YU-BASE 100N              ,0.61544
6308,8565,CASTROL EDGE W/SYNTEC 5W20    ,VISOPLEX 1-313                ,0.00093
6309,1134,CASTROL AF 47 RACING OIL      ,CA AF 47 PREMIX               ,0.1049
6309,8512,CASTROL AF 47 RACING OIL      ,YUBASE 8                      ,0.31013
6309,8513,CASTROL AF 47 RACING OIL      ,EXXON/MOBIL 150 BS            ,0.09663
6309,8514,CASTROL AF 47 RACING OIL      ,UNIROYAL PAO 100              ,0.21346
6309,8515,CASTROL AF 47 RACING OIL      ,HI-TECH 5777                  ,0.05048
6309,8523,CASTROL AF 47 RACING OIL      ,INFINEUM C9268                ,0.06704
6309,8549,CASTROL AF 47 RACING OIL      ,INFINEUM R10152A              ,0.10942
6309,8553,CASTROL AF 47 RACING OIL      ,INDOPOL H-1900 (R10203C)      ,0.04794
6310,1009,CASTROL SLX 5W30              ,VHVI 4                        ,0.7022
6310,8500,CASTROL SLX 5W30              ,DURASYN 164                   ,0.1027
6310,8504,CASTROL SLX 5W30              ,AO5007PIA                     ,0.0485
6310,8506,CASTROL SLX 5W30              ,INP 5245                      ,0.1448
6310,8535,CASTROL SLX 5W30              ,CA-1892                       ,0.0013
6310,8539,CASTROL SLX 5W30              ,VISOPLEX 1-3009               ,0.0005
6313,8519,CASTROL EDGE GOLD 0W20        ,SV261                         ,0.0034
6313,8538,CASTROL EDGE GOLD 0W20        ,YUBASE 4 PLUS                 ,0.50179
6313,8544,CASTROL EDGE GOLD 0W20        ,STOCK 22616                   ,0.06033
6313,8547,CASTROL EDGE GOLD 0W20        ,R11193A                       ,0.10023
6313,8550,CASTROL EDGE GOLD 0W20        ,YU4 YU-BASE 100N              ,0.21699
6313,8551,CASTROL EDGE GOLD 0W20        ,ULTRA S4                      ,0.10117
6313,8552,CASTROL EDGE GOLD 0W20        ,BPL2841 (R11207A)             ,0.0133
6313,8565,CASTROL EDGE GOLD 0W20        ,VISOPLEX 1-313                ,0.00279
6316,8506,CASTROL SLX PRO 5W20          ,INP 5245                      ,0.14692
6316,8510,CASTROL SLX PRO 5W20          ,YU6 YU-BASE 150N              ,0.12453
6316,8535,CASTROL SLX PRO 5W20          ,CA-1892                       ,0.0013
6316,8539,CASTROL SLX PRO 5W20          ,VISOPLEX 1-3009               ,0.00095
6316,8549,CASTROL SLX PRO 5W20          ,INFINEUM R10152A              ,0.01928
6316,8550,CASTROL SLX PRO 5W20          ,YU4 YU-BASE 100N              ,0.70702
6844,1205,CASE NO 1 ENGINE OIL SAE 15W40,SHELL VIS 265                 ,0.074
6844,1899,CASE NO 1 ENGINE OIL SAE 15W40,PETROCAN 1810                 ,0.7634
6844,5530,CASE NO 1 ENGINE OIL SAE 15W40,LUBRIZOL 7749B-CHEMGUARD 637  ,0.0025
6845,1899,CASE NO. 1 ENGINE OIL SAE 30  ,PETROCAN 1810                 ,0.427
6845,1930,CASE NO. 1 ENGINE OIL SAE 30  ,CONOCO 600N                   ,0.41
6845,5530,CASE NO. 1 ENGINE OIL SAE 30  ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.0015
6847,1205,CASE NO 1 ENGINE OIL SAE 10W30,SHELL VIS 265                 ,0.0535
6847,1899,CASE NO 1 ENGINE OIL SAE 10W30,PETROCAN 1810                 ,0.4749
6847,1900,CASE NO 1 ENGINE OIL SAE 10W30,PETROCAN GF-3                 ,0.3105
6847,5530,CASE NO 1 ENGINE OIL SAE 10W30,LUBRIZOL 7749B-CHEMGUARD 637  ,0.003
6856,1140,HY-TRAN ULTRA MS 1209         ,OLOA 9730D                    ,0.099
6856,1145,HY-TRAN ULTRA MS 1209         ,SYNATIVE ES 2925-A*BAD-USE1146,0.005
6856,1930,HY-TRAN ULTRA MS 1209         ,CONOCO 600N                   ,0.201
6856,4325,HY-TRAN ULTRA MS 1209         ,KENDEX 165HTLV                ,0.695
6857,1135,134 HO                        ,OLOA 9725 CX                  ,0.065
6857,1226,134 HO                        ,PERITONE 8051                 ,0.078
6857,1900,134 HO                        ,PETROCAN GF-3                 ,0.1
6857,4325,134 HO                        ,KENDEX 165HTLV                ,0.7497
6857,4401,134 HO                        ,ARG ANTI-FOAM                 ,0.0003
6857,5530,134 HO                        ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.007
6858,1225,NH SAE 15W40 DIESEL ENGINE OIL,PAR 8010                      ,0.075
6858,1945,NH SAE 15W40 DIESEL ENGINE OIL,AMERICA'S CORE 100N           ,0.2825
6858,5530,NH SAE 15W40 DIESEL ENGINE OIL,LUBRIZOL 7749B-CHEMGUARD 637  ,0.0025
6861,1225,NH SAE 10W30 DIESEL ENGINE OIL,PAR 8010                      ,0.063
6861,1945,NH SAE 10W30 DIESEL ENGINE OIL,AMERICA'S CORE 100N           ,0.5795
6861,5530,NH SAE 10W30 DIESEL ENGINE OIL,LUBRIZOL 7749B-CHEMGUARD 637  ,0.0025
6862,1131,CASE AUTO SUPREME 10W30       ,LZ 7719                       ,0.003
6862,1202,CASE AUTO SUPREME 10W30       ,WP 1050 VM                    ,0.0524
6862,4325,CASE AUTO SUPREME 10W30       ,KENDEX 165HTLV                ,0.8425
6862,4401,CASE AUTO SUPREME 10W30       ,ARG ANTI-FOAM                 ,0.0001
6862,5572,CASE AUTO SUPREME 10W30       ,LZ 8650                       ,0.001
6862,5575,CASE AUTO SUPREME 10W30       ,LZ 20000A                     ,0.101
6877,1131,DIESEL ENG OIL SAE 30W        ,LZ 7719                       ,0.002
6877,1150,DIESEL ENG OIL SAE 30W        ,OLOA 59034                    ,0.143
6877,1934,DIESEL ENG OIL SAE 30W        ,VALERO 165N                   ,0.26
6877,1952,DIESEL ENG OIL SAE 30W        ,VALPAR 500 N                  ,0.595
6882,1145,DIESEL ENG OIL SAE 10W        ,SYNATIVE ES 2925-A*BAD-USE1146,0.0025
6882,1150,DIESEL ENG OIL SAE 10W        ,OLOA 59034                    ,0.142
6882,1900,DIESEL ENG OIL SAE 10W        ,PETROCAN GF-3                 ,0.6005
6882,4325,DIESEL ENG OIL SAE 10W        ,KENDEX 165HTLV                ,0.255
6883,1131,ENGINE OIL SAE 15W40 (CI4/SL) ,LZ 7719                       ,0.003
6883,1150,ENGINE OIL SAE 15W40 (CI4/SL) ,OLOA 59034                    ,0.142
6883,1226,ENGINE OIL SAE 15W40 (CI4/SL) ,PERITONE 8051                 ,0.0742
6883,1930,ENGINE OIL SAE 15W40 (CI4/SL) ,CONOCO 600N                   ,0.152
6883,4325,ENGINE OIL SAE 15W40 (CI4/SL) ,KENDEX 165HTLV                ,0.62866
6893,1131,ENGINE OIL SAE 10W30 (CI4/SH) ,LZ 7719                       ,0.003
6893,1242,ENGINE OIL SAE 10W30 (CI4/SH) ,OLOA 59096                    ,0.139
6893,1263,ENGINE OIL SAE 10W30 (CI4/SH) ,PARATONE 24EX                 ,0.066
6893,1900,ENGINE OIL SAE 10W30 (CI4/SH) ,PETROCAN GF-3                 ,0.22726
6893,4325,ENGINE OIL SAE 10W30 (CI4/SH) ,KENDEX 165HTLV                ,0.5646
7030,4315,NON DETERGENT SAE 30 OIL SA   ,KENDEX 0150H                  ,0.4999
7030,4318,NON DETERGENT SAE 30 OIL SA   ,ARGOLD LEGACY                 ,0.5
7030,4401,NON DETERGENT SAE 30 OIL SA   ,ARG ANTI-FOAM                 ,0.0001
7040,4305,NON DETERGENT OIL SAE 40 SA   ,KENDEX 0150                   ,0.37
7040,4318,NON DETERGENT OIL SAE 40 SA   ,ARGOLD LEGACY                 ,0.6299
7040,4401,NON DETERGENT OIL SAE 40 SA   ,ARG ANTI-FOAM                 ,0.0001
7064,1187,ARGUARD MG ENGINE OIL 10W30   ,ARAMCOPRIMA 600               ,0.15368
7064,1225,ARGUARD MG ENGINE OIL 10W30   ,PAR 8010                      ,0.06995
7064,1279,ARGUARD MG ENGINE OIL 10W30   ,VTX-6                         ,0.70265
7064,1334,ARGUARD MG ENGINE OIL 10W30   ,OLOA 55603                    ,0.07372
7072,1257,KRT SYN 0W-20 RACING MOTOR OIL,HITEC 646                     ,0.01353
7072,1304,KRT SYN 0W-20 RACING MOTOR OIL,AFTON HITEC 611               ,0.00187
7072,1305,KRT SYN 0W-20 RACING MOTOR OIL,AFTON HITEC 614               ,0.00222
7072,1306,KRT SYN 0W-20 RACING MOTOR OIL,AFTON HITEC 7169              ,0.01012
7072,1307,KRT SYN 0W-20 RACING MOTOR OIL,AFTON HITEC 7188              ,0.0047
7072,1310,KRT SYN 0W-20 RACING MOTOR OIL,SYNFLUID MPAO 100             ,0.17781
7072,1311,KRT SYN 0W-20 RACING MOTOR OIL,VISCOPLEX 14-520              ,0.00018
7072,1312,KRT SYN 0W-20 RACING MOTOR OIL,MOLYVAN 3000                  ,0.00796
7072,1315,KRT SYN 0W-20 RACING MOTOR OIL,LUBRICIT 9514-2               ,0.07282
7072,1317,KRT SYN 0W-20 RACING MOTOR OIL,LUBRIZOL 7418A                ,0.08885
7072,1323,KRT SYN 0W-20 RACING MOTOR OIL,SYNFLUID PAO 2.5 CST          ,0.61607
7072,8528,KRT SYN 0W-20 RACING MOTOR OIL,MOLYVAN 855                   ,0.00387
7073,1009,DRIVEN CRATE OIL 10W-30       ,VHVI 4                        ,0.53663
7073,1117,DRIVEN CRATE OIL 10W-30       ,VHVI 8                        ,0.05857
7073,1306,DRIVEN CRATE OIL 10W-30       ,AFTON HITEC 7169              ,0.00385
7073,1308,DRIVEN CRATE OIL 10W-30       ,AFTON HITEC 9595              ,0.07018
7073,1310,DRIVEN CRATE OIL 10W-30       ,SYNFLUID MPAO 100             ,0.15147
7073,1312,DRIVEN CRATE OIL 10W-30       ,MOLYVAN 3000                  ,0.00407
7073,1315,DRIVEN CRATE OIL 10W-30       ,LUBRICIT 9514-2               ,0.07437
7073,1317,DRIVEN CRATE OIL 10W-30       ,LUBRIZOL 7418A                ,0.10086
7074,1009,DRIVEN CRATE OIL 10W-40       ,VHVI 4                        ,0.49782
7074,1117,DRIVEN CRATE OIL 10W-40       ,VHVI 8                        ,0.05887
7074,1306,DRIVEN CRATE OIL 10W-40       ,AFTON HITEC 7169              ,0.00391
7074,1308,DRIVEN CRATE OIL 10W-40       ,AFTON HITEC 9595              ,0.0712
7074,1310,DRIVEN CRATE OIL 10W-40       ,SYNFLUID MPAO 100             ,0.10282
7074,1312,DRIVEN CRATE OIL 10W-40       ,MOLYVAN 3000                  ,0.00421
7074,1315,DRIVEN CRATE OIL 10W-40       ,LUBRICIT 9514-2               ,0.08196
7074,1317,DRIVEN CRATE OIL 10W-40       ,LUBRIZOL 7418A                ,0.17921
7079,1009,DI40 SYN 5W-40 PERFORMANCE MO ,VHVI 4                        ,0.52489
7079,1117,DI40 SYN 5W-40 PERFORMANCE MO ,VHVI 8                        ,0.11247
7079,1257,DI40 SYN 5W-40 PERFORMANCE MO ,HITEC 646                     ,0.02745
