id,Product_Code,Product_Description,ClassCode,Division
,7393,ARGUARD AW HF ISO 68          ,SINGLE GRADE R&O AW           ,BlendedLubes
,7394,R&O AW46 LOW POUR HYD FL 1000+,SINGLE GRADE R&O AW           ,BlendedLubes
,7395,R&O AW68 LOW POUR HYD FL 1000+,SINGLE GRADE R&O AW           ,BlendedLubes
,7396,R&O AW VG 100 HYD OIL 1000+HRS,SINGLE GRADE R&O AW           ,BlendedLubes
,7397,R&O AW 150 HYD OIL 1000+HRS   ,SINGLE GRADE R&O AW           ,BlendedLubes
,7398,SYN R&O AW 100 GOV OIL ZF     ,SINGLE GRADE R&O AW           ,BlendedLubes
,7399,KLEEN-FLO TDH UTF             ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,7400,CASTROL PSF                   ,TYPE 'A' ATF                  ,BlendedLubes
,7421,TYPE A ATF 5W-20              ,TYPE 'A' ATF                  ,BlendedLubes
,7422,TYPE F ATF 5W-20 M2C33-F      ,TYPE 'F' ATF                  ,BlendedLubes
,7423,UNIVERSAL ATF                 ,MULTI-PURPOSE ATF             ,BlendedLubes
,7424,ARGUARD ATF                   ,MULTI-PURPOSE ATF             ,BlendedLubes
,7426,MEGA POWER PS MP ATF          ,MULTI-PURPOSE ATF             ,BlendedLubes
,7427,DEXRON III (UNDYED)           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7428,MULTIPURP AUTO & PWR TRANS FL ,MULTI-PURPOSE ATF             ,BlendedLubes
,7429,ATF+3                         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7430,UNIVERSAL POWER STEERING FLUID,TYPE 'A' ATF                  ,BlendedLubes
,7431,UNIVERSAL POWER STEERING FLUID,TYPE 'A' ATF                  ,BlendedLubes
,7478,LIMITED-SLIP ADDITIVE CON.    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7500,RAYMOND AW 46                 ,SINGLE GRADE R&O AW           ,BlendedLubes
,7501,R&O AW32 1000HR/PART RREF HYD ,SINGLE GRADE R&O AW           ,BlendedLubes
,7502,RO AW46 1000 HR/PART RREF HYD ,SINGLE GRADE R&O AW           ,BlendedLubes
,7503,R&O AW68 1000HR/PART RREF HYD ,SINGLE GRADE R&O AW           ,BlendedLubes
,7504,R&O AW VG 46 HYD OIL          ,SINGLE GRADE R&O AW           ,BlendedLubes
,7505,CASE MS 1210 TCH FLUID        ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,7506,HY-TRAN ULTRA                 ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,7507,134 HYDRAULIC OIL             ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,7510,GULF SOLUBLE B                ,RESALE-BLENDED LUBES          ,BlendedLubes
,7511,R&O 115 PARTIAL RREF HYD FLUID,SINGLE GRADE R&O              ,BlendedLubes
,7520,ISO VG 68 PART RE-REFINED WAY ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7521,ISO VG 220 PART RE-REFINED WAY,GEAR OIL-SPECIALTY            ,BlendedLubes
,7523,R & O AW VG 68 HYD OIL        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7524,R & 0 AW VG 100 HYF OIL       ,SINGLE GRADE R&O AW           ,BlendedLubes
,7525,4 SYN SAE 15W-50              ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7526,4 SYN SAE 5W-30               ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7527,4T SAE 10W-40                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7528,PAO SAE 15W-50                ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7529,4T SAE 20W-50                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7530,NEW HOLLAND GEAR OIL 80W90    ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7531,135 H EP 80W90 GEAR LUBE      ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7532,NOCO NORTAC 150               ,SINGLE GRADE R&O AW           ,BlendedLubes
,7533,R&O AW 32 PREM HYD OIL        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7535,135 HEP 85W140 GEAR LUBE      ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7536,4 SYN SAE 10W-40              ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7537,4 SYN SAE 0W-30               ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7539,ARGUARD BEARING OIL ISO 220   ,SINGLE GRADE R&O              ,BlendedLubes
,7540,ISO VG 320 BEARING OIL        ,SINGLE GRADE R&O              ,BlendedLubes
,7541,ARGUARD BEARING OIL ISO 460   ,SINGLE GRADE R&O              ,BlendedLubes
,7546,R&O AW 46 PREM HYD OIL        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7568,R&O AW 68 PREM HYD OIL        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7583,KLEEN-FLO ISO 22 HYD OIL      ,SINGLE GRADE R&O AW           ,BlendedLubes
,7584,KLEEN-FLO ISO 32 HYD OIL      ,SINGLE GRADE R&O AW           ,BlendedLubes
,7585,KLEEN-FLO ISO 46 HYD OIL      ,SINGLE GRADE R&O AW           ,BlendedLubes
,7586,KLEEN-FLO ISO 68 HYD OIL      ,SINGLE GRADE R&O AW           ,BlendedLubes
,7587,KLEEN-FLO ISO 32 HYD OIL RED  ,SINGLE GRADE R&O AW           ,BlendedLubes
,7588,KLEEN-FLO ISO 46 HYD OIL RED  ,SINGLE GRADE R&O AW           ,BlendedLubes
,7589,KLEEN-FLO ISO 68 HYD OIL RED  ,SINGLE GRADE R&O AW           ,BlendedLubes
,7700,ROLL OIL 135                  ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7701,ARGUARD ROCK DRILL OIL ISO 220,GEAR OIL-SPECIALTY            ,BlendedLubes
,7702,SLIDE & WAY LUBE 68           ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7703,SLIDE & WAY LUBE 220          ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7704,LOW TEMP CONCRETE FORM OIL    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7705,ARGUARD 65 SUS CFO            ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7706,ARGUARD 95 SUS CFO            ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7707,ROCK DRILL ISO VG 150         ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7708,SLIDE & WAY LUBE 150          ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7709,PERFORATING OIL               ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7710,ARGUARD BAR & CHAIN OIL       ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7711,LOW VIS FORM OIL              ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7712,NOCO ST 140                   ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7713,BRIGHT STOCK 150N             ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7714,ASTM GRADE 2150/ISO VG 460    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7716,FORM OIL 45                   ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7717,ISO VG 220 WIND MILL OIL      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7719,TRAN LOW TEMP GEAR OIL 80W-90 ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7720,SAE 90 STRAIGHT MIN OIL       ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7721,HIGH PERF GR OIL 80W140 (GL-5),GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7722,HYPOID GEAR OIL 75W90 (GL-5)  ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7723,50WT BAR & CHAIN              ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7725,ISO VG 320 WIND MILL OIL      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7728,GEAR OIL 85W90 (GL-4)         ,GEAR OIL-HYPOID GL-4          ,BlendedLubes
,7729,GEAR OIL 80W90 (GL-4)         ,GEAR OIL-HYPOID GL-4          ,BlendedLubes
,7730,ARGUARD GL5 GEAR OIL 80W90    ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7731,ARGUARD GL5 GEAR OIL LS 80W90 ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7732,LTD SLIP GL-5 SAE 80W90 GEAR  ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7734,GEAR OIL 85W140 (GL-4)        ,GEAR OIL-HYPOID GL-4          ,BlendedLubes
,7735,ARGUARD GL5 GEAR OIL 85W140   ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7740,JMS 5EP IND GEAR LUBE 220     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7741,JMS 6EP IND GEAR LUBE 320     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7742,JMS 7EP IND GEAR LUBE 460     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7750,ISO VG 460 EP GEAR OIL        ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7763,EMGARD FE 75W-90              ,RESALE-BLENDED LUBES          ,BlendedLubes
,7764,FULL SYN MAN TRANS 50         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7765,FULL SYN 80W140               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7766,PG1 FLSYN HYP HEAR/BLWR 75W90 ,RESALE-BLENDED LUBES          ,BlendedLubes
,7767,ARGUARD FS GL5 GEAR OIL 75W90 ,RESALE-BLENDED LUBES          ,BlendedLubes
,7770,VG 46 SYN AIR COMPRESSOR OIL  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7771,VG 68 SYN AIR COMPRESSOR OIL  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7772,VG 100 SYN AIR COMPRESSOR OIL ,RESALE-BLENDED LUBES          ,BlendedLubes
,7781,WAY OIL 460                   ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7782,AGMA 8A STEAM CYLINDER OIL    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7783,WAY OIL 100                   ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7784,COMPOUNDED OIL AGMA 6 375     ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7785,COMPOUNDED OIL AGMA 7 460     ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7786,COMPOUNDED OIL AGMA 8 680     ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7787,MD 2 EP IND GEAR LUBE 68      ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7788,MD 3 EP IND GEAR LUBE 100     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7789,MD 4 EP IND GEAR LUBE 150     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7790,MD 5 EP IND GEAR LUBE 220     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7791,MD 6 EP IND GEAR LUBE 320     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7792,MD 7 EP IND GEAR LUBE 460     ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7793,MD 8 EP IND GEAR LUBE ISO 680 ,GEAR OIL-INDUSTRIAL ALL GRADES,BlendedLubes
,7794,WAY OIL 32                    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7795,ARGUARD WAYLUBE ISO 68        ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7796,ARGUARD WAYLUBE ISO 220       ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7797,ARGUARD ROCK DRILL ISO 100    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7799,ARGUARD WAYLUBE ISO 46        ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7800,#2 LITHIUM COMP STEEL MILL GRS,RESALE-BLENDED LUBES          ,BlendedLubes
,7801,QUENCH OIL 1000               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7802,BIO-HYD EH 32/46              ,RESALE-BLENDED LUBES          ,BlendedLubes
,7803,GULFCUT SOLUBLE               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7804,UCON HTF 500                  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7805,BP ROLL GRINDING FLUID        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7810,NH BREAK IN OIL               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7813,SYN PAO EP 2 GREASE           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7815,LC 5 MOLY EP 1 GREASE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7817,LC 5 MOLY EP 2 GREASE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7819,MULTI-PURPOSE EP 2 GREASE     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7820,GULF CUT 41E                  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7824,SYN 75W90 GEAR OIL            ,RESALE-BLENDED LUBES          ,BlendedLubes
,7828,DOT 3 BRAKE FLUID             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7829,CELUREAN GREASE               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7830,ARG TRACTION MTR GEAR GRESE SS,RESALE-BLENDED LUBES          ,BlendedLubes
,7831,000-M TANGENT TRACK           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7832,TRACTION GG LITHIUM LIGHT     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7833,TRACTION GG LITHIUM           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7834,CURVE & FLANGE GREASE C       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7835,CURVE & FLANGE - WINTER       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7836,CURVE & FLANGE E SUMMER       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7837,CURVE&FLANGE E MID-GRADE GREAS,RESALE-BLENDED LUBES          ,BlendedLubes
,7838,GE D-50 252D ISO 460          ,RESALE-BLENDED LUBES          ,BlendedLubes
,7839,1522 VERSION OF ISO VG 460    ,RESALE-BLENDED LUBES          ,BlendedLubes
,7840,VAL PLEX GREASE HP #2         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7841,MULTILUBE LITHIUM EP #2       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7842,AIR BRAKE CYLINDER LUBE 914   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7843,ROLLER BEARING GREASE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7844,SPECIAL MOLY GREASE           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7845,LITHIUM GREASE #2             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7846,DIESEL FUEL CONCENTRATE       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7847,PREMIUM BLUE 2000             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7848,WINSHIELD WASHER SOLVENT      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7849,PITT PENN ANTI-FREEZE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7850,PREMIX ANTIFREEZE             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7851,PREMIUM BLEND ANTIFREEZE      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7852,GULF FR FLUID G-200           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7853,\LASTIC PETROLEUM E           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7854,GRHD HD ANTI-FREEZE PRE CHG   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7855,ANTI-FREEZE                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7856,PREMIUM ANTIFREEZE            ,RESALE-BLENDED LUBES          ,BlendedLubes
,7857,MP ALUMINUM CUTTING OIL       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7858,TRANSPARENT II CUTTING OIL    ,RESALE-BLENDED LUBES          ,BlendedLubes
,7859,DARK HEAVY DUTY CUTTING OIL   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7860,TRI-PURP ANTI-MIST CUTTING OIL,RESALE-BLENDED LUBES          ,BlendedLubes
,7861,ARGUARD SOLUBLE OIL W/BIOCIDE ,RESALE-BLENDED LUBES          ,BlendedLubes
,7862,TOUGHCUT CUTTING OIL          ,RESALE-BLENDED LUBES          ,BlendedLubes
,7863,DUAL-PURPOSE CUTTING OIL      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7864,NOCO QUENCH OIL 1001          ,RESALE-BLENDED LUBES          ,BlendedLubes
,7865,#1.5 EP LITHIUM GREASE        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7866,#000 RED E P LITHIUM GREASE   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7867,HIGH TEMP EP 2 BLUE GREASE    ,RESALE-BLENDED LUBES          ,BlendedLubes
,7868,BP RED EP #2 CALC SULF CMPX GR,RESALE-BLENDED LUBES          ,BlendedLubes
,7869,SYN ELECTRIC MOTOR GREASE     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7870,PLEXALENE 725                 ,RESALE-BLENDED LUBES          ,BlendedLubes
,7871,SUPREME HIGH PERF GREASE      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7872,PREMIUM HEAVY DUTY ANTIFREEZE ,RESALE-BLENDED LUBES          ,BlendedLubes
,7873,PREMIUM HD 50/50 ANTIFREEZE   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7874,PREMIUM 50/50 ANTIFREEZE      ,RESALE-BLENDED LUBES          ,BlendedLubes
,7875,CURVE & FLANGE E MID-GRADE    ,RESALE-BLENDED LUBES          ,BlendedLubes
,7876,CSX CURVE&FLANGE 1.5 MID GRD  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7881,GULFLEXMOLY EP                ,RESALE-BLENDED LUBES          ,BlendedLubes
,7882,FLEX MOLY EP 2 GREASE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7883,GULF CROWN EP SPECIAL         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7884,GULF CROWN EP 2               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7885,CROWN EP 0 GREASE             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7886,ARG MULTI-PURP EP 1 LITHIUM GR,RESALE-BLENDED LUBES          ,BlendedLubes
,7887,CROWN EP 2 GREASE             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7888,GULF PREM LUBCOTE EP 1        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7889,GRAPHITE GREASE               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7890,GULF HIGH TEMP LC             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7891,CR EP 000 GREASE(SEMI-FLUID D),RESALE-BLENDED LUBES          ,BlendedLubes
,7892,GULF EP LUBE R3500            ,RESALE-BLENDED LUBES          ,BlendedLubes
,7893,GULF FLUID LUBCOTE #2         ,RESALE-BLENDED LUBES          ,BlendedLubes
,7894,GULF NO RUST #3               ,RESALE-BLENDED LUBES          ,BlendedLubes
,7895,SUPER DUTY EP 1 GREASE        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7896,SUPER DUTY EP 2 GREASE        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7897,GEM EP GREASE                 ,RESALE-BLENDED LUBES          ,BlendedLubes
,7898,GULF SOLUABLE OIL B           ,RESALE-BLENDED LUBES          ,BlendedLubes
,7899,TRACTION MOTOR GEAR LUB/GREASE,RESALE-BLENDED LUBES          ,BlendedLubes
,7900,STEEL MILL GREASE #1.5        ,RESALE-BLENDED LUBES          ,BlendedLubes
,7903,DOT 4 BRAKE FLUID             ,RESALE-BLENDED LUBES          ,BlendedLubes
,7906,#00 EP RED SYN LITHIUM GR     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7912,PCMO 30 SE                    ,MOTOR OIL-SINGLE GRADE PCEO   ,BlendedLubes
,7913,COTE HP CORROSION PREVENTATIVE,RESALE-BLENDED LUBES          ,BlendedLubes
,7914,PCMO 40 SF                    ,MOTOR OIL-SINGLE GRADE PCEO   ,BlendedLubes
,7915,PCMO SAE 40 (SE/CC)           ,MOTOR OIL-SINGLE GRADE PCEO   ,BlendedLubes
,7916,HEAVY DUTY DIESEL SAE 40 (CC) ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,7917,HD DEO 40 CD                  ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,7918,HD DEO 30 CD                  ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,7919,PCMO 10W30 SF                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7920,PCMO 10W40 SF                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7921,PCMO 20W50 SF                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7922,PCMO 20W40 SF                 ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7923,SAE 10W30 (SF/CC)             ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7924,SAE 10W40 (SF/CC)             ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7925,PCMO 5W30 SF                  ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7926,SAE 5W30 SN CHEM/GPII BASE OIL,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7929,DESULFATER OIL                ,RESALE-BLENDED LUBES          ,BlendedLubes
,7931,RISLONE ENGINE TREATMENT      ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7932,RISLONE 4401 ENGINE OIL SUPP  ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7933,RISLONE 4405 ENGINE OIL SUPP  ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7940,ARGUARD ROLL GRIND FLUID      ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7950,NO RUST C                     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7952,GULFCUT 21D                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7953,GULFCUT 31A                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7954,GULFCUT 31B                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7955,GULFCUT 31C                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7956,GULFCUT 41E                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7960,GULFSPIN 10                   ,RESALE-BLENDED LUBES          ,BlendedLubes
,8000,SANDYVILLE                    ,CRUDE                         ,Refinery
,8001,RAIL CARS IN-TRANSIT          ,CRUDE                         ,Refinery
,8002,CRUDE (OOG)                   ,CRUDE                         ,Refinery
,8003,BRADFORD MID DISTRICT         ,CRUDE                         ,Refinery
,8004,MICHIGAN CRUDE                ,CRUDE                         ,Refinery
,8005,ERGON EXCHANGE CRUDE          ,CRUDE                         ,Refinery
,8098,ENGINE OIL SAE 15W40 (CK-4)   ,MOTOR OIL-MULTI GRADE DIESEL  ,BlendedLubes
,8100,#1 HEATING OIL DYED RED&YELLOW,FUEL OIL                      ,Refinery
,8101,#1 NRLM DIESEL S-5000 DYED    ,FUEL OIL                      ,Refinery
,8102,#1 ONROAD DIESEL S-500 UNDYED ,FUEL OIL                      ,Refinery
,8103,#2 ONROAD DIESEL S-500 UNDYED ,FUEL OIL                      ,Refinery
,8104,#2 DIESEL S-5000 DYED         ,FUEL OIL                      ,Refinery
,8105,HEATING OIL DYED RED&YELLOW   ,FUEL OIL                      ,Refinery
,8106,#2 NRLM DIESEL S-500 DYED     ,FUEL OIL                      ,Refinery
,8115,#1 ONROAD DIESEL S15 B2 UNDYED,FUEL OIL                      ,Refinery
,8120,#1 NRLM DIESEL S-15 DYED      ,FUEL OIL                      ,Refinery
,8125,#1 HEATING OIL S-15 DYED      ,FUEL OIL                      ,Refinery
,8130,#2 ONROAD DIESEL S-500 B2 UNDY,FUEL OIL                      ,Refinery
,8135,#2 ONROAD DIESEL S15 B2 UNDYED,FUEL OIL                      ,Refinery
,8136,#2 ONROAD DIESEL S15 B5 UNDYED,FUEL OIL                      ,Refinery
,8140,#2 NRLM DIESEL S500 DYED      ,FUEL OIL                      ,Refinery
,8150,GR#2 DIESEL S-500 DYED (L-M)  ,FUEL OIL                      ,Refinery
,8165,#1 ONROAD DIESEL S15 UNDYED   ,FUEL OIL                      ,Refinery
,8170,#2 ONROAD DIESEL S15 UNDYED   ,FUEL OIL                      ,Refinery
,8175,#2 NRLM DIESEL S15 DYED       ,FUEL OIL                      ,Refinery
,8177,#2 HEATING OIL S15 DYED R&Y   ,FUEL OIL                      ,Refinery
,8201,6 OIL                         ,#6 FUEL OIL                   ,Refinery
,8202,6 OIL INTERNAL USE            ,#6 FUEL OIL                   ,Refinery
,8221,CAT-CRACKER                   ,CAT CRACKER FEED/GASOIL       ,Refinery
,8500,DURASYN 164                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8501,INFINEUM 5249                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8502,INFINEUM 5241                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8503,SHELL VIS 265                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8504,AO5007PIA                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8505,DURASYN 166                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8506,INP 5245                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8507,HATCO 2955                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8508,R0177A                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8509,MOLLY VAN 807                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8510,YU6 YU-BASE 150N              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8511,VANLUBE 7723                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8512,YUBASE 8                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8513,EXXON/MOBIL 150 BS            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8514,UNIROYAL PAO 100              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8515,HI-TECH 5777                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8516,INFINIUM IDN 2593 A           ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8517,SYNTEC #2 LINE FILTER FLUSH   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8518,INF P-6608                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8519,SV261                         ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8520,SHELL VIS 253                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8521,R01781D                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8522,INFINEUM C-8455B              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8523,INFINEUM C9268                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8524,INFINEUM C9230                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8525,PARATONE 5523                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8526,MULTISOL A 5008PIA C9922      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8527,COMPLEX SV206 RO2122          ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8528,MOLYVAN 855                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8529,R09905A                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8530,HY-BASE C-231                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8531,VISCOPLEX 1-240               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8532,ARKEMA TPS 20                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
